show,collection_id,pct_sentences_dropped,pct_tokens_dropped,flagged
The Globalist,474763182,0.0013135672734096453,0.0008785704347134708,False
The Coffee Klatch with Robert Reich,1635446643,0.0010424692924806236,0.0008598776876420895,False
The Mel K Show,1587492577,0.0009384775808133472,0.0008332952833203963,False
What's The Plan? with Leah Greenberg and Ezra Levin,1869456664,0.0007599939200486396,0.0008242036481488596,False
Renegade Talk Radio,354628391,0.0009408665380815732,0.000811621767859778,False
UnJustified,1317481380,0.0009595905746881331,0.0008061998348080731,False
Timothy Gordon Rules for Retrogrades Podcast,1485186805,0.0007890168849613382,0.0007140923376322739,False
Candace,1750591415,0.0007884240793989426,0.0007127714014182324,False
Paul Krugman Podcast,1877144831,0.0007741572242944613,0.000703720539897895,False
What the Hell Is Going On,1467993804,0.0010410388471864555,0.0006883784603657351,False
The Inside Story Podcast,1587936366,0.0011500862564692352,0.0006548443096666447,False
Uncommon Knowledge,1378389941,0.0005294927459493805,0.0006234868298528733,False
Going Rogue with Lara Logan,1805186512,0.0007459207459207459,0.0005762374098128429,False
Antiwar News With Dave DeCamp,1634341981,0.0005541701302299807,0.000547927413823194,False
The Brian Lehrer Show,73331636,0.0006778825414432736,0.0005221932114882506,False
Know Your Enemy,1462703434,0.0007541478129713424,0.0005057840013294894,False
TRUE ANON TRUTH FEED,1474001390,0.0005003335557038026,0.00048607287295650026,False
The Reason Interview With Nick Gillespie,1485021241,0.0008153281695882593,0.0004763020813644921,False
Russian Roulette,1112258664,0.0009493208704542135,0.00047001100513573,False
Week In Review,702998658,0.0006233858758571555,0.000469829248623821,False
Dad Saves America,1636762428,0.0007165692867379561,0.000467234661498645,False
The President’s Inbox,1172546141,0.0007134980865278589,0.0004300294708270374,False
Seattle Nice,1599891719,0.0006938884440886042,0.0004290253852138946,False
War on the Rocks,682478916,0.0007265411054602358,0.00041459511874209783,False
Talking Feds,1456045551,0.000499968751953003,0.0003986722117075341,False
Glenn Diesen - Greater Eurasia Podcast,1822142909,0.00066884661117717,0.0003908340118646039,False
The Foreign Affairs Interview,1623855270,0.0007038288288288288,0.0003875312752788908,False
Jacobin Radio,791564318,0.0006698422149449241,0.0003409067287504937,False
American Conservative University,1576614213,0.0003786034939693872,0.0002997961386257345,False
