guest_key,display_name,n_candidates,reason
miranda|david|david,David Miranda,63,"name too common in DIME donor pool (n=63 same-name individuals, no recipient/candidate match) -- not search-tractable"
wilcox|ann|ann,Ann Wilcox,52,"name too common in DIME donor pool (n=52 same-name individuals, no recipient/candidate match) -- not search-tractable"
urban|timothy|tim,Tim Urban,26,"name too common in DIME donor pool (n=26 same-name individuals, no recipient/candidate match) -- not search-tractable"
weaver|matthew|matthew,Matthew Weaver,104,"name too common in DIME donor pool (n=104 same-name individuals, no recipient/candidate match) -- not search-tractable"
lindsey|michael|michael paul,Michael Paul Lindsey,124,"name too common in DIME donor pool (n=124 same-name individuals, no recipient/candidate match) -- not search-tractable"
mitchell|josh|josh,Josh Mitchell,31,"name too common in DIME donor pool (n=31 same-name individuals, no recipient/candidate match) -- not search-tractable"
fischer|sara|sara,Sara Fischer,21,"name too common in DIME donor pool (n=21 same-name individuals, no recipient/candidate match) -- not search-tractable"
goldstein|seth|seth,Seth Goldstein,41,"name too common in DIME donor pool (n=41 same-name individuals, no recipient/candidate match) -- not search-tractable"
rogan|joseph|joe,Joe Rogan,23,"name too common in DIME donor pool (n=23 same-name individuals, no recipient/candidate match) -- not search-tractable"
goldberg|dana|dana,Dana Goldberg,23,"name too common in DIME donor pool (n=23 same-name individuals, no recipient/candidate match) -- not search-tractable"
mccabe|andrew|andrew,Andrew McCabe,31,"name too common in DIME donor pool (n=31 same-name individuals, no recipient/candidate match) -- not search-tractable"
rodriguez|aida|aida,Aida Rodriguez,58,"name too common in DIME donor pool (n=58 same-name individuals, no recipient/candidate match) -- not search-tractable"
sullivan|brent|brent,Brent Sullivan,22,"name too common in DIME donor pool (n=22 same-name individuals, no recipient/candidate match) -- not search-tractable"
hough|thomas|tommy,Tommy Hough,32,"name too common in DIME donor pool (n=32 same-name individuals, no recipient/candidate match) -- not search-tractable"
torres|armando|armando,Armando Torres,29,"name too common in DIME donor pool (n=29 same-name individuals, no recipient/candidate match) -- not search-tractable"
miller|zach|zach,Zach Miller,44,"name too common in DIME donor pool (n=44 same-name individuals, no recipient/candidate match) -- not search-tractable"
reed|brian|brian,Brian Reed,160,"name too common in DIME donor pool (n=160 same-name individuals, no recipient/candidate match) -- not search-tractable"
hughes|katherine|kathryn,Kathryn Hughes,318,"name too common in DIME donor pool (n=318 same-name individuals, no recipient/candidate match) -- not search-tractable"
goodman|amelia|amy,Amy Goodman,64,"name too common in DIME donor pool (n=64 same-name individuals, no recipient/candidate match) -- not search-tractable"
thornton|katherine|katie,Katie Thornton,81,"name too common in DIME donor pool (n=81 same-name individuals, no recipient/candidate match) -- not search-tractable"
nguyen|c|c thi,C. Thi Nguyen,51,"name too common in DIME donor pool (n=51 same-name individuals, no recipient/candidate match) -- not search-tractable"
anderson|ian|ian,Ian Anderson,136,"name too common in DIME donor pool (n=136 same-name individuals, no recipient/candidate match) -- not search-tractable"
katz|matthew|matt,Matt Katz,60,"name too common in DIME donor pool (n=60 same-name individuals, no recipient/candidate match) -- not search-tractable"
smith|lindsey|lindsey,Lindsey Smith,150,"name too common in DIME donor pool (n=150 same-name individuals, no recipient/candidate match) -- not search-tractable"
abrams|rachel|rachel,Rachel Abrams,24,"name too common in DIME donor pool (n=24 same-name individuals, no recipient/candidate match) -- not search-tractable"
powers|ann|ann,Ann Powers,83,"name too common in DIME donor pool (n=83 same-name individuals, no recipient/candidate match) -- not search-tractable"
coleman|robin|robin r means,Robin R. Means Coleman,26,"name too common in DIME donor pool (n=26 same-name individuals, no recipient/candidate match) -- not search-tractable"
mason|katherine|katherine,Katherine Mason,182,"name too common in DIME donor pool (n=182 same-name individuals, no recipient/candidate match) -- not search-tractable"
schuster|steven|steven sprick,Steven Sprick Schuster,56,"name too common in DIME donor pool (n=56 same-name individuals, no recipient/candidate match) -- not search-tractable"
jensen|kelly|kelly,Kelly Jensen,58,"name too common in DIME donor pool (n=58 same-name individuals, no recipient/candidate match) -- not search-tractable"
