topic,coherence,exclusivity,prop,top_words,frex_words,register,estimate,se,t,p,ci_low,ci_high,est_show,se_show,p_show
25,-75.383720790371,9.97808082496943,0.0157432148950929,tariffs economy inflation economic prices trade fed tariff market rates year rate,tariffs tariff inflation fed recession rates powell reserve economists economy gdp goods,FALSE,-0.000215692878630999,0.000479300146350858,-0.450016300377065,0.652701258298909,-0.00115512116547868,0.000723735408216683,-0.000220395222646178,0.00151533475537392,0.884505939270096
26,-76.8301260256472,9.92637172587839,0.0146647177104979,epstein files jeffrey release donald released maxwell bondi documents pam victims sex,epstein files epstein's jeffrey ghislaine maxwell pedophile pam bondi redacted release survivors,FALSE,-0.00404458627265331,0.000551170030822706,-7.33818249627277,2.20841867408409e-13,-0.00512487953306581,-0.0029642930122408,-0.00471382913730992,0.0014622874140538,0.00147612233556171
27,-87.1309899393079,9.86290958048943,0.00876391776445567,fire tonight los angeles california water weather fires today news fema disaster,angeles fema fires los weather hurricane firefighters wildfires tonight palisades rain storm,FALSE,-0.000387697068286418,0.000314426983814791,-1.23302734257307,0.217573202750041,-0.00100397395656341,0.000228579819990573,-0.000401018599464459,0.00187237640040575,0.830625639918172
28,-99.1197576873019,9.88608465948787,0.00765471187526159,south africa global economic world system economy population resources capital countries market,africa african mining lithium globalization congo capitalists capitalist imf industrial indigenous resource,FALSE,-0.0030914325039983,0.000354769085284262,-8.71392867143782,3.0517495084874e-18,-0.00378677991115545,-0.00239608509684115,-0.00315747691120268,0.00149927448568065,0.0364391847334259
29,-120.139279837173,9.92373265981205,0.0109835677395757,city york mayor council seattle mamdani adams public police cuomo office week,mayor yorkers sandeep seattle mayors cuomo mayor's city city's council mamdani harrell,FALSE,-0.00264585265714287,0.000395582585801177,-6.68849628904721,2.28599484456831e-11,-0.00342119452531318,-0.00187051078897256,-0.00293327564980961,0.00306352886731505,0.339468260312112
30,-74.5197908615367,9.5979527072557,0.0130648873060963,movie film great movies episode story love yes watch she's hollywood funny,film movie movies films comedy hollywood documentary characters superman theater actress trek,FALSE,-0.000972833692023914,0.000442634431067517,-2.19782652171386,0.0279674903583583,-0.00184039717691625,-0.000105270207131582,-0.000852570037866488,0.0014946071806327,0.569019471955637
31,-118.970216002746,9.90749989732374,0.00907865341138877,biden joe biden's hunter boring administration office pen wasn't auto knew story,hunter biden's joe biden pen armstrong getty boring auto tedious depressing jake,FALSE,0.00449556968456396,0.000279456071208241,16.0868563890101,4.91125298997839e-58,0.0039478357849958,0.00504330358413211,0.00501243574345743,0.000774083994994565,7.0492420829104e-10
32,-107.08965170067,9.76111440058813,0.00766825259868287,music song puerto la love band rock moment feel thank songs singing,album song puerto songs music singing bunny artists band rican sing musicians,FALSE,-0.00243188062717705,0.000344338363631735,-7.0624736713273,1.66373720437181e-12,-0.00310678381989525,-0.00175697743445885,-0.00270882749110964,0.00166551402565435,0.105419036022275
33,-63.8376593122291,9.93157279653456,0.0197492511916039,iran nuclear iranian deal regime iranians iran's war missiles strait program states,iranians iranian iran's iran uranium ayatollah nuclear irgc ballistic tehran missiles enriched,FALSE,0.00160113210314547,0.000605632708810761,2.64373452730039,0.00820306546857588,0.000414091993876379,0.00278817221241456,0.00222525460415882,0.00184137065180304,0.228276497631523
34,-146.46647391909,9.82172990876344,0.00500699937957888,chicken day body summer sugar molly great stick today rick america fresh,vitamins groons chicken broccoli sugar packet barbecue molly corn ingredients wraps fiber,FALSE,-0.000317457089136892,0.000273242222469302,-1.16181564572275,0.245317666112705,-0.000853011845176724,0.000218097666902941,-0.000627970019279203,0.00179273135719634,0.726488501563388
