show_id,nw,imp_other,imp_all,you_deontic,you_all,imp_attention,you_other,you_know,imp_action,imp_epistemic,you_addressive,imp_other_rate,imp_all_rate,you_deontic_rate,you_all_rate,imp_attention_rate,you_other_rate,you_know_rate,imp_action_rate,imp_epistemic_rate,you_addressive_rate
1351411911,74763,128,327,150,2306,24.0,1112,1024,156,19.0,20.0,17.120768294477216,43.73821275229726,20.063400345090486,308.4413413051911,3.210144055214478,148.7366745582708,136.96614635581773,20.865936358894103,2.5413640437114617,2.675120046012065
1356662668,72853,154,527,89,1662,91.0,1213,338,255,27.0,22.0,21.138456892646836,72.33744663912262,12.21638093146473,228.13061919207172,12.49090634565495,166.49966370636764,46.39479499814695,35.001990309252875,3.706093091567952,3.0197795560924052
1362265400,75651,239,639,155,1500,93.0,1089,194,272,35.0,62.0,31.592444250571702,84.4668279335369,20.48882367714901,198.2789388111195,12.293294206289408,143.95050957687275,25.64407608623812,35.95458090441633,4.626508572259454,8.195529470859606
1364113251,74696,227,592,123,2145,60.0,1691,292,273,32.0,39.0,30.389846845881976,79.25457855842347,16.466745207240013,287.1639712969905,8.032558637678056,226.38427760522652,39.09178537003321,36.54814180143515,4.284031273428296,5.221163114490736
1367201919,72907,165,408,74,1481,46.0,1182,203,178,19.0,22.0,22.631571728366275,55.96170463741478,10.14991701757033,203.13550139218455,6.309407875786961,162.12435019956934,27.843691277929416,24.41466525847998,2.6060597747815706,3.0175428971155034
1368074498,73682,179,547,146,1992,51.0,1548,241,275,42.0,57.0,24.293585950435656,74.237941423957,19.814880160690535,270.3509676718873,6.921636220515187,210.09201704622566,32.70812410086589,37.32254824787601,5.700171005130153,7.735946364105209
1378389941,72983,143,333,89,1441,29.0,1157,172,146,15.0,23.0,19.593603989970266,45.62706383678391,12.19462066508639,197.44324020662347,3.973528081882082,158.53006864612308,23.56713207185235,20.00465861913048,2.055273145801077,3.1514188235616514
1386375601,72927,200,780,157,2034,101.0,1663,152,454,25.0,62.0,27.424684958931536,106.95627133983298,21.528377692761254,278.9090460323337,13.849465904260425,228.0362554335157,20.842760568787966,62.25403485677458,3.428085619866442,8.501652337268775
1408796715,73582,158,472,94,1763,47.0,1329,321,239,28.0,19.0,21.47264276589383,64.14612269304993,12.774863417683672,239.59664048272677,6.387431708841836,180.6148242776766,43.624799543366585,32.480769753472316,3.805278464841945,2.5821532439998913
1432118523,75821,183,611,107,1382,82.0,1200,59,293,53.0,16.0,24.135793513670357,80.58453462760977,14.112185278484853,182.27140238192587,10.814945727436989,158.2674984502974,7.7814853404729565,38.64364753828095,6.990147848221469,2.110233312670632
1439837349,74652,164,395,155,2044,33.0,1591,278,177,21.0,20.0,21.968600975191556,52.91217917805283,20.76300701923592,273.803782885924,4.420511171837325,213.1222204361571,37.23945775062959,23.710014467127472,2.81305256389648,2.679097679901409
1441649707,74033,204,495,97,1504,58.0,1134,262,204,29.0,11.0,27.555279402428646,66.86207502059892,13.102265206056758,203.1526481433955,7.834344143827752,153.17493550173572,35.389623546256395,27.555279402428646,3.917172071913876,1.485823889346643
1447684472,75151,132,364,116,1938,51.0,1372,432,162,19.0,18.0,17.56463653178268,48.435815890673446,15.435589679445384,257.8807999893548,6.786336841825125,182.565767587923,57.48426501310694,21.556599379915102,2.528243137150537,2.395177708879456
1449848509,73386,106,286,76,2104,36.0,1013,1005,130,14.0,10.0,14.444171912898918,38.97201101027444,10.356198730003,286.7031858937672,4.905567819475104,138.0372278091189,136.94710162701332,17.714550459215655,1.9077208186847627,1.3626577276319733
1452065072,73895,172,602,139,2102,66.0,1767,172,337,27.0,24.0,23.27627038365248,81.46694634278367,18.810474321672643,284.4576764327762,8.931592123959673,239.1230800460112,23.27627038365248,45.60525069355166,3.653833141619866,3.2478516814398812
1456045551,73095,148,380,113,1318,36.0,918,276,169,27.0,11.0,20.247622956426568,51.9871400232574,15.459333743758123,180.31329092277176,4.925097475887544,125.58998563513236,37.75908064847117,23.120596484027633,3.6938231069156577,1.5048908954100828
1456850698,76876,240,826,210,2428,111.0,1848,307,437,38.0,63.0,31.21910609292887,107.44575680316353,27.31671783131276,315.8332899734637,14.438836567979603,240.3871169155523,39.934439877204845,56.844789010874656,4.943025131380405,8.19501534939383
1462195742,75250,172,465,107,1865,50.0,1309,430,223,20.0,19.0,22.857142857142858,61.794019933554814,14.219269102990033,247.8405315614618,6.644518272425249,173.95348837209303,57.142857142857146,29.634551495016613,2.6578073089700998,2.524916943521595
1462703434,71974,83,193,72,1361,21.0,834,452,72,17.0,3.0,11.531942090199239,26.815238836246422,10.003612415594521,189.09606246700199,2.917720287881735,115.87517714730319,62.80045572012116,10.003612415594521,2.3619640425709285,0.416817183983105
1467297559,76906,169,552,152,2025,80.0,1293,546,271,32.0,34.0,21.97487842300991,71.77593425740514,19.764387694068084,263.30845447689387,10.402309312667413,168.12732426598706,70.9957610589551,35.23782279666086,4.160923725066965,4.42098145788365
