show_id,show,publisher,hours,host,n_hosts,n_hosts_scored,coverage,avg_host_cfscore,host_cfscore_detail
1647085571,The Next Level,The Bulwark,25.66,"Emmett Golden, Jerod Cherry, and Nick Paulus",3.0,0.0,none,,Emmett Golden=NA; Jerod Cherry=NA; Nick Paulus=NA
1057255460,The NPR Politics Podcast,NPR,25.05,Tamara Keith and Miles Parks,2.0,0.0,none,,Tamara Keith=NA; Miles Parks=NA
1263295815,The Pete Quiñones Show,Peter R Quiñones,25.43,Pete Quiñones,1.0,0.0,none,,Pete Quiñones=NA
1317356120,The Peter McCormack Show,Peter McCormack,26.21,The Peter McCormack,1.0,0.0,none,,The Peter McCormack=NA
1169056746,The Playbook Podcast,POLITICO,25.04,Jack Blanchard and Dasha Burns,2.0,1.0,partial,-1.088,Jack Blanchard=-1.088; Dasha Burns=NA
1439837349,The Political Orphanage,Andrew Heaton,25.08,Andrew Heaton,1.0,1.0,full,1.226,Andrew Heaton=1.226
268213039,The Political Scene | The New Yorker,The New Yorker,25.13,"David Remnick, Tyler Foggatt, Susan B. Glasser, Jane Mayer, and Evan Osnos",5.0,1.0,partial,-1.154,David Remnick=NA; Tyler Foggatt=NA; Susan B. Glasser=-1.154; Jane Mayer=NA; Evan Osnos=NA
1595408601,The PoliticsGirl Podcast,"Meidas Media Network, Leigh McGowan",25.37,Leigh McGowan,1.0,1.0,full,-1.008,Leigh McGowan=-1.008
1617887885,The President's Daily Brief,The First TV,25.06,Mike Baker,1.0,1.0,full,0.871,Mike Baker=0.871
1172546141,The President’s Inbox,Council on Foreign Relations,25.44,James M. Lindsay,1.0,0.0,none,,James M. Lindsay=NA
1485021241,The Reason Interview With Nick Gillespie,The Reason Interview With Nick Gillespie,25.78,Nick Gillespie,1.0,0.0,none,,Nick Gillespie=NA
1155629323,The Reason Roundtable,The Reason Roundtable,25.03,"Nick Gillespie, Katherine Mangu-Ward, Peter Suderman, and Matt Welch",4.0,1.0,partial,-1.019,Nick Gillespie=NA; Katherine Mangu-Ward=NA; Peter Suderman=NA; Matt Welch=-1.019
1291144720,The Remnant with Jonah Goldberg,The Dispatch,25.38,Jonah Goldberg,1.0,0.0,none,,Jonah Goldberg=NA
1743030473,The Rest Is Politics: US,Goalhanger,25.57,Kathy Kay and Anthony Scaramucci,2.0,1.0,partial,0.6405,Kathy Kay=NA; Anthony Scaramucci=0.640
969924303,The Skepticrat,"Puzzle in a Thunderstorm, LLC",25.52,"Noah Lugeons, Heath Enwright, and Eli Bosnick",3.0,1.0,partial,-1.393,Noah Lugeons=NA; Heath Enwright=NA; Eli Bosnick=-1.393
1573813504,The Smerconish Podcast,SiriusXM,25.66,Micael Smerconish,1.0,0.0,none,,Micael Smerconish=NA
1696974077,The Source with Kaitlan Collins,CNN Podcasts,25.76,Kaitlan Collins,1.0,1.0,full,-1.096,Kaitlan Collins=-1.096
716825890,The Tom Woods Show,Tom Woods,25.51,Tom Woods,1.0,0.0,none,,Tom Woods=NA
1714879044,The Tony Kinnett Cast,The Daily Signal,25.6,Tony Kinnett,1.0,0.0,none,,Tony Kinnett=NA
1351411911,The TPM Show with Josh and Kate,Talking Points Memo,25.12,Josh Marshall and Kate Riga,2.0,0.0,none,,Josh Marshall=NA; Kate Riga=NA
1570380458,The Victor Davis Hanson Show,Victor Davis Hanson and Jack Fowler,25.68,Victor Davis Hanson,1.0,1.0,full,1.373,Victor Davis Hanson=1.373
1681586867,The Warning with Steve Schmidt,iHeartPodcasts,25.12,Steve Schmidt,1.0,0.0,none,,Steve Schmidt=NA
1612691018,THE WEEKEND SHOW,Evergreen Podcasts,25.87,"Jonathan Capehart, Eugene Daniels, and Jacqueline Alemany",3.0,2.0,partial,-0.573,Jonathan Capehart=-0.516; Eugene Daniels=NA; Jacqueline Alemany=-0.630
1674095262,The Wright Report,Bryan Dean Wright,25.16,Bryan Dean Wright,1.0,0.0,none,,Bryan Dean Wright=NA
597919007,The Young Turks,TYT Network,25.09,Cenk Uygur and Ana Kasparian,2.0,2.0,full,-1.0779999999999998,Cenk Uygur=-1.047; Ana Kasparian=-1.109
91959525,This Week with George Stephanopoulos,ABC News,25.34,George Stephanopoulos,1.0,0.0,none,,George Stephanopoulos=NA
