review_id,show_id,rating,n_cats,connection,companionship,direct_address,emotion,loyalty,praise_person,praise_content,agreement,anti_media,hostility,disagreement
7219701609,1452065072,5,1,0,0,0,0,0,0,1,0,0,0,0
1699547748,124960485,5,4,0,0,1,0,1,1,1,0,0,0,0
6137199256,1309354521,5,4,0,0,1,1,0,1,1,0,0,0,0
11436544795,1356662668,3,2,0,0,0,0,1,0,1,0,0,0,0
1737741570,1172546141,5,2,0,0,1,0,0,0,1,0,0,0,0
10880772562,1303660358,5,3,0,0,1,1,0,0,1,0,0,0,0
13079534497,1314170606,5,1,0,0,1,0,0,0,0,0,0,0,0
7449551960,1057255460,1,2,0,0,0,0,0,0,0,0,0,1,1
13195681350,1810218232,5,2,0,0,1,1,0,0,0,0,0,0,0
7375573500,1476110521,3,2,0,0,0,0,0,0,0,0,0,1,1
10368860259,1265845136,5,2,0,0,0,0,0,1,1,0,0,0,0
4784896342,387042247,5,3,0,0,0,0,0,0,1,1,1,0,0
10635574689,1612691018,5,5,0,0,1,1,0,0,1,1,1,0,0
10419706407,1654162813,5,4,0,0,1,1,0,0,0,1,0,1,0
14245465369,1510240831,5,3,0,0,0,0,0,0,1,1,1,0,0
10425807050,1679657705,5,4,0,0,1,1,0,1,0,0,0,1,0
1592739447,78911087,1,1,0,0,0,0,0,0,0,0,0,1,0
6164954880,1408796715,1,2,0,0,0,0,0,0,0,0,0,1,1
12951334518,1535384390,1,2,0,0,0,1,0,0,0,1,0,0,0
6953181251,1484862164,5,5,0,0,1,1,1,1,1,0,0,0,0
12593384857,1586423406,5,4,0,0,0,1,0,1,1,1,0,0,0
1965085565,78911087,5,2,0,0,0,0,1,1,0,0,0,0,0
12538302099,1586423406,5,4,0,0,1,1,0,1,1,0,0,0,0
1584741944,1111319839,5,1,0,0,0,0,0,0,1,0,0,0,0
10396522993,1654162813,5,1,0,0,0,0,0,1,0,0,0,0,0
14331134977,1570045623,5,4,0,0,1,1,0,1,0,0,0,1,0
13774260276,1548554104,5,1,0,0,0,0,0,0,1,0,0,0,0
9855100915,1515399733,5,3,0,0,1,1,0,0,0,1,0,0,0
8330224304,1484862164,5,2,0,0,1,0,0,0,1,0,0,0,0
8418128348,1057255460,1,4,0,0,1,0,0,0,0,0,1,1,1
12723374497,1485351658,5,3,0,0,0,1,0,0,1,1,0,0,0
618714054,91959525,4,1,0,0,0,1,0,0,0,0,0,0,0
11010672366,1702202187,1,3,0,0,0,0,0,0,0,0,1,1,1
11860167993,1057255460,1,2,0,0,1,0,0,0,0,0,0,0,1
9489872142,1549624070,3,3,0,0,1,0,0,0,0,0,0,1,1
8838355914,1495251160,3,1,0,0,0,0,0,0,0,0,0,1,0
8080023526,1476110521,5,1,0,0,0,0,0,0,0,0,0,1,0
4047820919,1364113251,5,4,0,1,0,0,0,1,1,1,0,0,0
8452515415,1568505052,5,3,0,0,1,0,0,1,1,0,0,0,0
10690603281,1612691018,5,3,0,0,1,1,0,0,1,0,0,0,0
14396106049,1447684472,5,3,0,0,1,0,0,1,0,1,0,0,0
13777252332,1195206601,3,1,0,0,0,0,1,0,0,0,0,0,0
7388801448,545045867,5,1,0,0,0,0,0,1,0,0,0,0,0
11291806000,1654162813,5,2,0,0,0,0,0,1,0,1,0,0,0
13889495670,1447684472,5,4,0,0,1,1,0,0,1,1,0,0,0
12923436941,1495251160,5,2,0,0,0,0,0,0,0,1,0,1,0
14143368455,1798460240,5,1,0,0,1,0,0,0,0,0,0,0,0
13138856677,1640311112,5,4,0,0,1,1,1,0,1,0,0,0,0
10917542083,1057255460,5,6,0,1,1,1,1,0,1,1,0,0,0
13249407146,1570380458,5,4,0,1,1,0,0,1,1,0,0,0,0
1208888625,969924303,5,2,0,0,0,1,0,0,1,0,0,0,0
9614033805,1671451793,4,3,0,0,1,1,0,1,0,0,0,0,0
